job_role,city,education,college_tier,industry,company_size,gender,years_experience,age,performance_rating,num_skills,base_salary,bonus,total_ctc
Chartered Accountant,Hyderabad,BTech,Tier 2,Consulting,Mid-size,Male,5.4,27.0,3.7,5,2265274.0,208456.0,2473729.0
DevOps Engineer,Ahmedabad,BTech,Tier 3,Manufacturing,MNC,Female,12.1,33.0,,5,1812983.0,291743.0,2104725.0
Data Analyst,Jaipur,BTech,Tier 2,FinTech,Startup,Male,8.6,36.0,3.12,3,1641482.0,186000.0,1827482.0
Backend Developer,Bangalore,MTech,Tier 2,E-Commerce,Mid-size,Male,6.8,30.0,2.07,8,2692658.0,444658.0,3137316.0
Backend Developer,Hyderabad,MBA,Tier 2,Manufacturing,Startup,Male,4.5,28.0,3.94,7,2023014.0,232388.0,2255402.0
Software Engineer,Jaipur,PhD,Tier 3,Consulting,Startup,Male,2.4,25.0,3.66,6,1609283.0,349747.0,1959030.0
Product Manager,Mumbai,BTech,Tier 3,Manufacturing,MNC,Male,3.5,26.0,2.47,4,2587374.0,360812.0,2948185.0
Business Analyst,Delhi NCR,MBA,Tier 2,IT Services,Startup,Male,7.9,30.0,2.91,11,2441313.0,352586.0,2793899.0
Backend Developer,Ahmedabad,MBA,Tier 1,Manufacturing,Mid-size,Male,12.8,36.0,3.63,11,2781548.0,626711.0,3408259.0
AI Engineer,Delhi NCR,MBA,Tier 3,Product Based,Mid-size,Male,0.9,22.0,3.19,2,2713416.0,494484.0,3207900.0
Chartered Accountant,Jaipur,BTech,Tier 3,Manufacturing,Mid-size,Male,6.2,30.0,3.31,7,1243696.0,235853.0,1479549.0
Product Manager,Hyderabad,MBA,Tier 1,E-Commerce,MNC,Male,3.5,28.0,3.35,1,4740727.0,904687.0,5645414.0
Backend Developer,Mumbai,MTech,Tier 2,EdTech,Startup,Male,2.0,28.0,2.35,8,1970359.0,396698.0,2367058.0
Data Analyst,Kolkata,MBA,Tier 2,FinTech,MNC,Female,0.7,25.0,3.34,6,1835744.0,101502.0,1937247.0
Chartered Accountant,Ahmedabad,BTech,Tier 2,Consulting,Startup,Male,4.8,28.0,3.24,5,1779229.0,281195.0,2060425.0
Chartered Accountant,Chennai,PhD,Tier 2,EdTech,Mid-size,Female,0.1,24.0,2.56,1,1369029.0,280871.0,1649900.0
HR Manager,Remote,PhD,Tier 2,E-Commerce,Startup,Male,7.6,33.0,2.59,2,2065345.0,491131.0,2556476.0
AI Engineer,Hyderabad,BTech,Tier 1,EdTech,Startup,Male,7.3,31.0,3.22,7,2935707.0,635230.0,3570938.0
Software Engineer,Remote,MTech,Tier 1,FinTech,Mid-size,Male,6.9,25.0,2.77,2,2910829.0,521690.0,3432519.0
Product Manager,Remote,PhD,Tier 1,EdTech,Mid-size,Male,3.0,27.0,2.87,5,3363328.0,753578.0,4116906.0
DevOps Engineer,Chennai,BTech,Tier 3,E-Commerce,Mid-size,Male,2.8,24.0,2.96,10,1916498.0,366775.0,2283273.0
Frontend Developer,Jaipur,MBA,Tier 3,Manufacturing,MNC,Male,4.1,27.0,3.71,7,1898951.0,430696.0,2329647.0
Backend Developer,Pune,MTech,Tier 3,FinTech,Mid-size,Male,11.7,34.0,3.78,1,2367471.0,268998.0,2636469.0
Backend Developer,Jaipur,BTech,Tier 2,Manufacturing,Mid-size,Female,6.0,28.0,4.18,4,1314459.0,237077.0,1551536.0
Frontend Developer,Ahmedabad,BTech,Tier 3,E-Commerce,MNC,Female,9.8,35.0,,8,2290876.0,482994.0,2773870.0
AI Engineer,Hyderabad,BTech,Tier 1,Consulting,Startup,Female,12.4,38.0,4.51,8,3154229.0,258873.0,3413102.0
Frontend Developer,Mumbai,BTech,Tier 1,EdTech,Mid-size,Male,11.0,31.0,2.94,6,2224852.0,539046.0,2763898.0
Business Analyst,Jaipur,BTech,Tier 3,FinTech,Mid-size,Male,5.6,28.0,3.47,6,1397294.0,340014.0,1737307.0
Product Manager,Pune,BTech,Tier 3,FinTech,Mid-size,Female,11.7,36.0,3.67,5,3259458.0,383070.0,3642527.0
Chartered Accountant,Chennai,BTech,Tier 2,Manufacturing,MNC,Female,6.3,31.0,4.37,7,1992322.0,305520.0,2297841.0
Business Analyst,Chennai,MTech,Tier 2,IT Services,MNC,Male,9.8,34.0,3.32,1,2224750.0,179261.0,2404011.0
DevOps Engineer,Jaipur,BTech,Tier 2,EdTech,MNC,Male,2.8,25.0,3.59,6,1750090.0,321072.0,2071161.0
Chartered Accountant,Pune,,Tier 1,Consulting,Startup,Female,1.7,23.0,4.27,4,2100347.0,445049.0,2545396.0
Marketing Manager,Bangalore,BTech,Tier 2,E-Commerce,MNC,Male,0.4,23.0,1.72,9,2406486.0,343966.0,2750452.0
Financial Analyst,Delhi NCR,,Tier 2,EdTech,Startup,Female,3.1,26.0,4.25,5,1793458.0,424169.0,2217627.0
Data Scientist,Delhi NCR,MTech,Tier 3,Consulting,MNC,Male,0.0,26.0,,2,1898611.0,254600.0,2153211.0
Financial Analyst,Bangalore,MTech,Tier 1,Consulting,Mid-size,Male,10.2,34.0,2.65,3,2607299.0,465311.0,3072611.0
Product Manager,Hyderabad,BTech,Tier 2,EdTech,Mid-size,Male,11.3,31.0,3.49,7,2567718.0,481536.0,3049254.0
Backend Developer,Delhi NCR,BTech,Tier 3,IT Services,Mid-size,Male,4.8,31.0,,4,1676140.0,357189.0,2033329.0
Business Analyst,Chennai,MBA,Tier 2,Manufacturing,Mid-size,Male,0.0,22.0,4.45,3,1345492.0,103145.0,1448637.0
Financial Analyst,Jaipur,BTech,Tier 3,Manufacturing,MNC,Male,0.0,23.0,,3,668049.0,132430.0,800479.0
Data Analyst,Ahmedabad,PhD,Tier 1,Manufacturing,Mid-size,Female,14.0,38.0,1.2,6,2008660.0,266868.0,2275528.0
Product Manager,Pune,,Tier 1,FinTech,Mid-size,Male,7.1,30.0,1.77,3,3536761.0,445903.0,3982664.0
Business Analyst,Pune,MTech,Tier 3,IT Services,Mid-size,Male,8.9,33.0,2.91,8,2029371.0,129207.0,2158578.0
AI Engineer,Hyderabad,MBA,Tier 1,IT Services,Startup,Male,0.0,23.0,3.5,3,2400688.0,255434.0,2656122.0
Backend Developer,Jaipur,MTech,Tier 1,EdTech,MNC,Male,4.8,27.0,3.45,1,1877888.0,346039.0,2223926.0
Frontend Developer,Mumbai,BTech,Tier 2,Product Based,Startup,Male,5.7,28.0,3.56,7,2790979.0,465756.0,3256735.0
Financial Analyst,Hyderabad,MBA,Tier 2,EdTech,Mid-size,Male,8.3,31.0,3.12,1,2247510.0,230865.0,2478375.0
Financial Analyst,Delhi NCR,BTech,Tier 2,IT Services,Mid-size,Male,5.7,29.0,4.08,9,2146810.0,470029.0,2616839.0
Data Analyst,Ahmedabad,PhD,Tier 1,IT Services,Mid-size,Female,7.0,30.0,4.18,4,2132345.0,153592.0,2285937.0
Marketing Manager,Kolkata,BTech,Tier 2,Manufacturing,MNC,Female,2.4,27.0,3.12,4,1261894.0,187082.0,1448976.0
AI Engineer,Pune,BTech,Tier 3,EdTech,Mid-size,Male,6.6,31.0,2.39,1,2080990.0,479571.0,2560561.0
Data Analyst,Mumbai,BTech,Tier 1,Product Based,Startup,Male,10.3,32.0,4.2,7,3311418.0,373873.0,3685291.0
Product Manager,Delhi NCR,MBA,Tier 2,FinTech,Startup,Male,7.3,27.0,4.27,4,3917162.0,692276.0,4609438.0
Backend Developer,Jaipur,BTech,Tier 2,E-Commerce,MNC,Male,0.0,25.0,2.27,5,1276007.0,212300.0,1488308.0
Chartered Accountant,Bangalore,BTech,Tier 1,Manufacturing,Startup,Male,8.1,28.0,4.42,3,2391614.0,182985.0,2574599.0
DevOps Engineer,Jaipur,BTech,Tier 2,Product Based,Startup,Male,4.3,29.0,4.1,2,1887850.0,369196.0,2257046.0
Product Manager,Kolkata,BTech,Tier 2,EdTech,MNC,Male,13.1,36.0,3.89,5,2926987.0,481402.0,3408389.0
Frontend Developer,Kolkata,BTech,Tier 3,EdTech,MNC,Male,2.6,28.0,3.21,4,1618296.0,107429.0,1725725.0
HR Manager,Pune,BTech,Tier 3,Product Based,Startup,Male,0.0,28.0,4.84,5,1258669.0,66000.0,1324669.0
Backend Developer,Bangalore,BTech,Tier 2,Product Based,Mid-size,Female,9.3,30.0,4.11,8,2991580.0,702542.0,3694123.0
Software Engineer,Pune,BTech,Tier 3,Manufacturing,Mid-size,Female,9.0,33.0,3.86,6,1937161.0,106979.0,2044141.0
DevOps Engineer,Hyderabad,MTech,Tier 2,Product Based,MNC,Female,5.4,31.0,2.4,4,3386084.0,213694.0,3599778.0
Marketing Manager,Pune,BTech,Tier 2,Manufacturing,MNC,Male,2.2,25.0,3.41,6,1980339.0,344211.0,2324550.0
Financial Analyst,Remote,MTech,Tier 2,FinTech,Mid-size,Female,3.7,27.0,2.34,3,1807575.0,100362.0,1907936.0
Frontend Developer,Pune,BTech,Tier 3,E-Commerce,MNC,Male,3.2,26.0,2.9,8,2338647.0,437437.0,2776084.0
Marketing Manager,Bangalore,,Tier 3,IT Services,MNC,Male,0.0,22.0,2.39,8,1887183.0,324132.0,2211316.0
AI Engineer,Delhi NCR,MTech,Tier 2,Manufacturing,Startup,Male,0.7,21.0,4.32,8,2335547.0,299843.0,2635390.0
Software Engineer,Bangalore,PhD,Tier 3,IT Services,MNC,Male,7.5,30.0,2.44,9,3471717.0,660668.0,4132385.0
Data Scientist,Ahmedabad,BTech,Tier 2,Product Based,Startup,Male,0.5,26.0,2.39,2,1565563.0,279409.0,1844971.0
Data Analyst,Bangalore,MTech,Tier 2,Manufacturing,Startup,Male,3.1,27.0,4.35,5,1408189.0,90552.0,1498741.0
Financial Analyst,Hyderabad,PhD,Tier 3,Product Based,Startup,Male,8.0,30.0,2.62,5,2828187.0,514449.0,3342636.0
Software Engineer,Chennai,PhD,Tier 3,E-Commerce,Mid-size,Female,3.4,28.0,2.99,8,2379855.0,196812.0,2576667.0
DevOps Engineer,Chennai,,Tier 3,Manufacturing,Mid-size,Female,4.9,30.0,,5,1484458.0,290831.0,1775289.0
Backend Developer,Mumbai,,Tier 3,EdTech,Mid-size,Male,4.3,27.0,4.97,4,1815891.0,295437.0,2111327.0
Data Analyst,Remote,BTech,Tier 3,Product Based,Mid-size,Male,7.2,32.0,1.61,4,1766971.0,239566.0,2006538.0
Financial Analyst,Delhi NCR,PhD,Tier 3,EdTech,Mid-size,Female,0.0,24.0,,3,1569919.0,316466.0,1886385.0
Business Analyst,Bangalore,BTech,Tier 3,Manufacturing,MNC,Male,8.8,35.0,4.05,6,2188795.0,537426.0,2726221.0
AI Engineer,Bangalore,BTech,Tier 1,FinTech,Mid-size,Male,15.0,38.0,2.83,9,4939226.0,807710.0,5746936.0
Backend Developer,Bangalore,PhD,Tier 2,EdTech,MNC,Female,3.3,31.0,3.59,7,2866871.0,643908.0,3510780.0
Marketing Manager,Hyderabad,BTech,Tier 3,Manufacturing,MNC,Female,6.3,30.0,3.7,3,1836248.0,356642.0,2192890.0
DevOps Engineer,Mumbai,BTech,Tier 3,E-Commerce,Mid-size,Male,6.2,27.0,1.55,2,2057507.0,330588.0,2388095.0
Financial Analyst,Remote,BTech,Tier 1,E-Commerce,Mid-size,Male,4.7,27.0,2.8,1,1876593.0,431663.0,2308256.0
Product Manager,Mumbai,BTech,Tier 2,E-Commerce,Mid-size,Male,14.6,37.0,1.95,3,3240707.0,218862.0,3459568.0
Marketing Manager,Bangalore,MBA,Tier 2,FinTech,Mid-size,Male,1.6,25.0,3.78,3,2509169.0,288854.0,2798023.0
Business Analyst,Mumbai,MTech,Tier 3,Manufacturing,MNC,Female,10.4,34.0,2.44,4,2214769.0,137478.0,2352247.0
Financial Analyst,Bangalore,MTech,Tier 2,IT Services,Mid-size,Male,6.1,32.0,2.19,4,2111749.0,218087.0,2329836.0
Marketing Manager,Jaipur,MBA,Tier 3,Manufacturing,Startup,Female,3.6,30.0,2.74,6,1077550.0,131209.0,3194386.3812996317
Data Analyst,Delhi NCR,BTech,Tier 3,E-Commerce,Startup,Male,5.0,30.0,3.75,5,1795493.0,422843.0,2218336.0
Data Scientist,Bangalore,BTech,Tier 2,Manufacturing,Startup,Male,1.5,27.0,3.4,7,1785614.0,410890.0,2196504.0
Data Scientist,Mumbai,MTech,Tier 3,E-Commerce,Startup,Female,0.0,24.0,4.03,5,1947011.0,386422.0,2333432.0
Business Analyst,Bangalore,BTech,Tier 3,Consulting,Startup,Female,5.9,28.0,3.84,5,1602495.0,256789.0,1859284.0
AI Engineer,Jaipur,BTech,Tier 1,E-Commerce,Mid-size,Male,11.0,35.0,4.07,5,2905389.0,309965.0,3215354.0
Data Analyst,Remote,,Tier 2,Manufacturing,MNC,Male,5.1,24.0,,7,1539538.0,381578.0,1921116.0
Frontend Developer,Mumbai,BTech,Tier 2,FinTech,Mid-size,Female,5.9,30.0,3.1,3,2381369.0,566110.0,2947479.0
DevOps Engineer,Pune,BTech,Tier 3,EdTech,Mid-size,Male,11.1,33.0,3.73,4,2088992.0,366118.0,2455110.0
Frontend Developer,Kolkata,PhD,Tier 2,E-Commerce,Startup,Female,4.6,31.0,1.97,3,2028323.0,471311.0,2499634.0
HR Manager,Kolkata,MTech,Tier 3,Consulting,MNC,Male,3.5,26.0,3.86,5,1886302.0,360573.0,2246875.0
Financial Analyst,Kolkata,MBA,Tier 1,IT Services,Startup,Female,3.1,28.0,2.88,5,1984651.0,197126.0,2181776.0
HR Manager,Kolkata,BTech,Tier 1,Manufacturing,Startup,Female,7.4,31.0,2.63,4,1504149.0,252623.0,1756772.0
Chartered Accountant,Hyderabad,BTech,Tier 1,E-Commerce,Startup,Male,5.6,30.0,2.36,3,2454534.0,381241.0,2835775.0
Software Engineer,Jaipur,BTech,Tier 3,Consulting,Mid-size,Female,4.0,28.0,4.06,4,1660328.0,305630.0,1965958.0
Backend Developer,Pune,MBA,Tier 2,IT Services,MNC,Male,3.5,26.0,2.18,3,2085930.0,217173.0,2303103.0
Chartered Accountant,Kolkata,BTech,Tier 2,E-Commerce,Mid-size,Male,5.6,27.0,1.9,8,2092090.0,369047.0,2461137.0
HR Manager,Pune,BTech,Tier 2,Consulting,MNC,Female,6.7,25.0,5.0,6,2772337.0,540648.0,3312984.0
Frontend Developer,Bangalore,BTech,Tier 2,Product Based,Startup,Male,0.0,23.0,4.15,9,2159498.0,227308.0,2386806.0
Backend Developer,Hyderabad,BTech,Tier 2,FinTech,Startup,Male,4.7,22.0,4.61,9,2192236.0,125265.0,2317501.0
HR Manager,Pune,BTech,Tier 3,Product Based,Startup,Male,6.8,30.0,4.75,8,2310281.0,310639.0,2620920.0
Backend Developer,Pune,BTech,Tier 3,Product Based,Startup,Male,9.9,30.0,4.52,3,2382843.0,309654.0,2692497.0
Product Manager,Mumbai,BTech,Tier 3,IT Services,Mid-size,Male,10.1,30.0,3.17,5,2796573.0,468812.0,3265385.0
Software Engineer,Jaipur,BTech,Tier 2,E-Commerce,Startup,Male,8.5,34.0,4.37,6,1928984.0,419642.0,2348625.0
Business Analyst,Mumbai,BTech,Tier 3,IT Services,MNC,Male,6.9,31.0,,4,2061178.0,255252.0,2316430.0
Data Analyst,Jaipur,MBA,Tier 3,EdTech,Mid-size,Male,0.5,24.0,2.94,6,951865.0,188221.0,1140085.0
Software Engineer,Remote,BTech,Tier 2,FinTech,Mid-size,Male,6.1,33.0,4.29,6,2441539.0,401143.0,2842682.0
Marketing Manager,Remote,BTech,Tier 2,Product Based,Mid-size,Male,1.9,24.0,3.55,6,1800173.0,173009.0,1973182.0
Data Analyst,Chennai,PhD,Tier 1,Manufacturing,Startup,Male,0.0,22.0,2.66,7,1077712.0,132280.0,1209992.0
DevOps Engineer,Chennai,,Tier 2,Product Based,MNC,Male,1.8,23.0,2.45,3,3037606.0,473380.0,3510986.0
Frontend Developer,Ahmedabad,MBA,Tier 3,E-Commerce,MNC,Female,3.4,24.0,2.34,8,2168519.0,200044.0,2368562.0
Software Engineer,Delhi NCR,MBA,Tier 2,IT Services,Startup,Male,3.1,24.0,3.0,5,2362415.0,200293.0,2562708.0
Marketing Manager,Remote,BTech,Tier 3,IT Services,Startup,Male,7.1,33.0,3.81,5,1516765.0,375323.0,1892088.0
Product Manager,Pune,BTech,Tier 2,Manufacturing,Startup,Male,5.3,31.0,3.55,6,2057182.0,136347.0,2193529.0
Frontend Developer,Mumbai,BTech,Tier 3,IT Services,Mid-size,Male,12.2,38.0,2.77,9,2352480.0,275313.0,2627793.0
Frontend Developer,Remote,BTech,Tier 2,IT Services,MNC,Male,9.1,30.0,4.67,3,1996893.0,316998.0,2313890.0
Software Engineer,Delhi NCR,PhD,Tier 3,EdTech,Mid-size,Male,3.7,26.0,2.97,6,2511839.0,382628.0,2894466.0
Software Engineer,Pune,BTech,Tier 2,Product Based,Mid-size,Male,12.0,36.0,3.04,8,3027033.0,727711.0,3754744.0
Marketing Manager,Jaipur,BTech,Tier 3,E-Commerce,Startup,Male,5.7,28.0,3.49,4,1352979.0,163480.0,1516459.0
AI Engineer,Bangalore,MBA,Tier 3,FinTech,MNC,Male,6.5,30.0,4.03,3,4274184.0,765464.0,5039648.0
DevOps Engineer,Jaipur,,Tier 3,FinTech,Startup,Male,2.8,31.0,3.03,6,1868383.0,166148.0,2034531.0
Data Scientist,Mumbai,,Tier 2,E-Commerce,Startup,Female,4.0,26.0,1.52,7,2887332.0,198898.0,3086229.0
Product Manager,Pune,BTech,Tier 2,Manufacturing,Startup,Male,7.0,31.0,3.13,3,2255415.0,120095.0,2375510.0
